Season,Team,Points,Place,GS,GA,GD,Wins,Losses,Ties
1928,FC Barcelona,36,1,37,23,14,11,4,3
1928,Real Madrid,34,2,40,27,13,11,6,1
1928,Real Sociedad,28,3,46,41,5,8,6,4
1928,Athletic Bilbao,28,4,43,33,10,8,6,4
1928,Arenas de Getxo,27,5,32,39,-7,8,7,3
1928,Atletico Madrid,26,6,43,41,2,8,8,2
1928,Espanyol Barcelona,25,7,32,38,-6,7,7,4
1928,CE Europa,22,8,45,49,-4,6,8,4
1928,Real Union,17,9,40,42,-2,5,11,2
1928,Racing Santander,12,10,25,50,-25,3,12,3
1929,Athletic Bilbao,42,1,63,28,35,12,0,6
1929,FC Barcelona,34,2,46,36,10,11,6,1
1929,Arenas de Getxo,29,3,51,40,11,9,7,2
1929,Espanyol Barcelona,29,4,40,33,7,9,7,2
1929,Real Madrid,24,5,45,42,3,7,8,3
1929,Real Union,23,6,48,52,-4,6,7,5
1929,Racing Santander,21,7,32,58,-26,7,11,0
1929,CE Europa,19,8,29,44,-15,6,11,1
1929,Real Sociedad,19,9,34,37,-3,5,9,4
1929,Atletico Madrid,17,10,32,50,-18,5,11,2
1930,Athletic Bilbao,33,1,73,33,40,11,7,0
1930,Racing Santander,32,2,49,37,12,10,6,2
1930,Real Sociedad,32,3,42,39,3,10,6,2
1930,FC Barcelona,28,4,40,43,-3,7,4,7
1930,Arenas de Getxo,26,5,35,38,-3,8,8,2
1930,Real Madrid,25,6,24,27,-3,7,7,4
1930,Real Union,22,7,41,45,-4,6,8,4
1930,Espanyol Barcelona,20,8,32,45,-13,6,10,2
1930,CD Alaves,19,9,25,39,-14,5,9,4
1930,CE Europa,19,10,23,38,-15,6,11,1
1931,Real Madrid,38,1,37,15,22,10,0,8
1931,Athletic Bilbao,36,2,47,23,24,11,4,3
1931,FC Barcelona,34,3,40,26,14,10,4,4
1931,Racing Santander,27,4,36,35,1,7,5,6
1931,Arenas de Getxo,24,5,35,42,-7,7,8,3
1931,Espanyol Barcelona,22,6,34,39,-5,7,10,1
1931,Valencia CF,21,7,38,47,-9,6,9,3
1931,Real Sociedad,21,8,38,35,3,7,11,0
1931,CD Alaves,16,9,22,44,-22,5,12,1
1931,Real Union,15,10,24,45,-21,4,11,3
1932,Real Madrid,41,1,49,17,32,13,3,2
1932,Athletic Bilbao,39,2,63,30,33,13,5,0
1932,Espanyol Barcelona,32,3,33,30,3,10,6,2
1932,FC Barcelona,26,4,42,34,8,7,6,5
1932,Real Betis,23,5,31,45,-14,6,7,5
1932,Real Sociedad,21,6,41,47,-6,6,9,3
1932,Racing Santander,20,7,47,58,-11,6,10,2
1932,Arenas de Getxo,19,8,39,44,-5,5,9,4
1932,CD Alaves,17,9,21,42,-21,5,11,2
1932,Valencia CF,17,10,34,53,-19,4,9,5
1933,Athletic Bilbao,35,1,61,27,34,11,5,2
1933,Real Madrid,32,2,41,29,12,10,6,2
1933,Real Betis,28,3,29,36,-7,9,8,1
1933,Racing Santander,28,4,38,39,-1,9,8,1
1933,Real Oviedo,26,5,51,45,6,8,8,2
1933,Real Sociedad,25,6,29,33,-4,7,7,4
1933,Espanyol Barcelona,24,7,41,42,-1,7,8,3
1933,Valencia CF,24,8,28,38,-10,7,8,3
1933,FC Barcelona,24,9,42,40,2,8,10,0
1933,Arenas de Getxo,13,10,18,49,-31,3,11,4
1934,Real Madrid,49,1,61,34,27,16,5,1
1934,Real Betis,49,2,43,19,24,15,3,4
1934,Real Oviedo,38,3,60,47,13,12,8,2
1934,Athletic Bilbao,36,4,60,37,23,11,8,3
1934,Sevilla FC,35,5,53,38,15,11,9,2
1934,FC Barcelona,33,6,55,44,11,9,7,6
1934,Valencia CF,29,7,40,49,-9,9,11,2
1934,Atletico Madrid,29,8,40,45,-5,8,9,5
1934,Espanyol Barcelona,29,9,47,59,-12,9,11,2
1934,Racing Santander,24,10,37,46,-9,7,12,3
1934,Real Sociedad,16,11,28,67,-39,5,16,1
1934,Arenas de Getxo,12,12,17,56,-39,3,16,3
